,KG1a_Ctrl_Nonresponsive_116,KG1a_T0_Nonresponsive_117,KG1a_LGT_Nonresponsive_118,KG1a_SYT_Nonresponsive_119,KG1a_ComboT_Nonresponsive_120
DLX6_ENSG00000006377.11,1.01047349,1.839535737,5.883901257,5.637878489,0.58566779
MAP3K9_ENSG00000006432.16,263.733581,252.016396,200.0526427,178.1569603,243.0521327
RALA_ENSG00000006451.8,3090.027934,2851.280392,2079.538816,2799.770458,2653.660755
BAIAP2L1_ENSG00000006453.14,101.047349,120.4895908,115.9969105,121.7781754,139.3889339
KDM7A_ENSG00000006459.11,196.0318572,217.9849848,155.5031046,134.181508,111.8625478
ETV1_ENSG00000006468.14,71.74361782,77.26050095,58.83901257,64.27181478,101.9061954
AGK_ENSG00000006530.18,1613.726164,1421.041357,1387.760139,1620.326278,1549.091303
ALDH3B1_ENSG00000006534.16,67.70172386,82.77910816,97.5046494,68.78211757,96.04951749
TTC22_ENSG00000006555.11,7.073314433,10.11744655,21.01393306,4.510302792,11.71335579
PHTF2_ENSG00000006576.16,6186.118709,6107.258647,5944.421384,5969.385745,5966.197773
FARP2_ENSG00000006607.14,4338.973168,4060.775139,3254.637952,3939.749488,3538.019117
GGCT_ENSG00000006625.18,3238.567537,2830.125731,2488.049674,3316.200127,2665.37411
DBF4_ENSG00000006634.8,6256.851853,5273.948958,5302.23559,6474.539657,5625.924787
TBXA2R_ENSG00000006638.13,1721.846828,1495.542554,1165.853006,1782.697178,1579.546029
IFRD1_ENSG00000006652.15,1162.044514,1095.443531,1174.258579,1192.975088,1255.671741
LGALS14_ENSG00000006659.13,14.14662887,13.79651803,36.98452218,18.04121117,10.54202021
COX10_ENSG00000006695.12,1009.463017,857.2236534,713.6331667,1066.68661,881.4300233
GTF2IRD1_ENSG00000006704.11,20.20946981,29.43257179,32.78173557,30.44454384,29.86905727
PAF1_ENSG00000006712.15,5648.546812,4859.133649,3769.059034,4986.139736,5037.328658
VPS41_ENSG00000006715.16,5650.567759,5077.118634,4206.989398,5672.833336,5620.653777
ARHGAP44_ENSG00000006740.17,42.4398866,44.14885769,41.1873088,33.82727094,33.9687318
ELAC2_ENSG00000006744.19,4580.476332,4000.07046,3033.571376,4054.76221,3681.507725
SCIN_ENSG00000006747.15,88.92166716,85.53841177,152.9814327,78.93029885,114.205219
ARSD_ENSG00000006756.16,29.30373122,31.27210753,44.54953809,33.82727094,36.89707074
PNPLA4_ENSG00000006757.12,921.5518233,736.7340626,597.6362562,785.9202614,778.3524924
ADIPOR2_ENSG00000006831.10,9982.467612,9069.830951,8222.331727,12008.68118,16815.69357
CDKL3_ENSG00000006837.12,88.92166716,92.89655471,110.9535666,103.7369642,91.36417518
MARK4_ENSG00000007047.15,2998.074846,2679.283801,2023.221475,2423.160175,3117.509644
CCDC124_ENSG00000007080.11,3254.735113,2594.665157,1697.085234,2460.370173,2086.148667
CEACAM21_ENSG00000007129.18,2529.215147,2193.646366,1981.193609,3076.026504,5194.287626
PAFAH1B1_ENSG00000007168.14,7415.864947,6876.184585,5206.412055,7864.840493,7588.49755
KIAA0100_ENSG00000007202.15,24776.80999,23713.45518,16853.17431,22303.4473,21981.86915
GAS7_ENSG00000007237.19,22.23041679,24.83373245,27.73839164,22.55151396,15.22736253
TRAPPC6A_ENSG00000007255.10,1086.259002,928.0457793,649.7508102,776.8996558,770.7388111
MATK_ENSG00000007264.15,1904.74253,1438.516946,1264.198213,1972.129896,1886.43595
ST7L_ENSG00000007341.19,842.734891,781.8026882,756.5015901,903.188134,1009.105601
PAX6_ENSG00000007372.24,29.30373122,45.06862555,97.5046494,50.7409064,46.26775538
RPUSD1_ENSG00000007376.8,2011.85272,1680.415896,1048.174981,1273.032963,1137.952515
RHBDF1_ENSG00000007384.15,38.39799264,37.71048261,30.26006361,48.48575501,40.99674527
LUC7L_ENSG00000007392.17,3724.605286,3311.164326,2698.189005,3223.73892,3017.94612
CACNA2D2_ENSG00000007402.12,18.18852283,34.951179,31.94117825,27.06181675,36.89707074
BAIAP3_ENSG00000007516.14,13.13615538,11.95698229,16.81114645,12.40333268,6.442345686
TSR3_ENSG00000007520.4,1209.536768,1031.979548,630.4179918,916.7190424,842.1902814
PIGQ_ENSG00000007541.17,1861.292169,1631.668199,1034.726064,1314.753264,1292.568812
CRAMP1_ENSG00000007545.16,3722.584339,3718.621492,2606.568257,3595.838901,3885.320116
TEAD3_ENSG00000007866.22,1.01047349,5.518607211,9.246130546,2.255151396,11.71335579
DNAJC11_ENSG00000007923.16,6227.548122,5510.3293,4291.885688,5742.743029,5254.611408
FMO3_ENSG00000007933.13,22.23041679,18.39535737,27.73839164,18.04121117,21.66970822
MYLIP_ENSG00000007944.15,3009.190055,5150.700063,2106.43665,4996.287917,2224.366265
NOX1_ENSG00000007952.18,40.41893962,32.1918754,38.66563683,54.1236335,34.55439959
E2F2_ENSG00000007968.7,2415.031642,2224.918474,2399.791155,5049.283975,5769.999063
PSMB1_ENSG00000008018.9,10221.94983,8359.770156,7775.995789,9507.718285,9115.919145
JARID2_ENSG00000008083.14,10406.86648,9690.674262,7830.632015,9438.936167,9421.052063
CDKL5_ENSG00000008086.13,643.6716134,737.6538305,728.7631985,720.5208709,792.9941871
CDK11A_ENSG00000008128.23,1715.783987,1699.731021,1342.370044,1519.972041,1498.723874
NADK_ENSG00000008130.15,6888.397784,6028.15861,4299.450704,5962.62029,5860.777571
DLEC1_ENSG00000008226.20,24.25136377,23.91396458,35.30340754,20.29636256,20.49837264
CYTH3_ENSG00000008256.16,1835.019859,1632.587966,1017.07436,1374.514776,1381.004648
ADAM22_ENSG00000008277.14,1973.454727,1866.209005,1488.627018,1846.968993,1884.678947
SYPL1_ENSG00000008282.9,8961.889387,8534.526051,9542.847281,8663.164087,7111.763969
CYB561_ENSG00000008283.16,4574.413491,4262.204302,3361.388732,4665.908238,3896.447804
SPAG9_ENSG00000008294.21,7637.158641,7328.710376,5983.087021,8233.557746,9066.723051
CELSR3_ENSG00000008300.17,401.1579757,515.0700063,379.9319097,381.1205859,431.0514931
AASS_ENSG00000008311.16,5679.87149,6042.874896,4850.856307,5517.22789,5593.127391
PLEKHG6_ENSG00000008323.15,41.42941311,42.30932195,98.34520672,56.37878489,48.61042654
SS18L2_ENSG00000008324.12,1687.490729,1275.718034,1571.842193,1517.716889,1430.78641
MPND_ENSG00000008382.16,1562.192016,1355.737838,948.989217,1212.143875,1110.426129
MGST1_ENSG00000008394.13,4311.690384,3679.991242,3721.147266,3590.201022,3004.475761
CRY1_ENSG00000008405.12,2148.266641,1912.197399,1592.856126,1753.38021,1735.333661
PGLYRP1_ENSG00000008438.5,29.30373122,68.98259013,42.86842344,37.20999803,63.25212128
NFIX_ENSG00000008441.18,4147.993678,3748.973832,2846.967651,4158.499174,4005.382013
ST3GAL1_ENSG00000008513.16,18561.38755,16622.04492,13906.18034,22156.86246,25205.38466
MMP25_ENSG00000008516.18,809.3892659,850.7852783,599.3173709,692.3314785,814.6638953
IL32_ENSG00000008517.18,59971.60166,47921.74548,32565.71234,40019.91667,36667.48897
PKD1_ENSG00000008710.20,5495.965315,6121.055165,4398.636468,5225.185784,5139.820522
MAPK8IP2_ENSG00000008735.14,36.37704566,39.55001834,46.23065273,37.20999803,39.2397419
MED24_ENSG00000008838.20,7617.959645,7315.833626,5377.045191,7360.814156,7617.780939
RHOBTB2_ENSG00000008853.17,1470.238929,1262.841283,913.6858094,1212.143875,1455.970125
HEATR5B_ENSG00000008869.12,5228.18984,5172.774492,4157.396516,4837.299744,4722.825055
SEC62_ENSG00000008952.17,6503.407385,5984.92952,6030.158231,6473.412082,5967.369108
RPS20_ENSG00000008988.11,77455.82446,59755.47888,67712.77622,66662.27526,62586.80267
CSDE1_ENSG00000009307.16,45044.88726,40146.02792,32028.59621,44706.12127,41055.89772
UBE3C_ENSG00000009335.18,8871.957246,8139.025868,6885.005028,9428.787986,9052.667024
REV3L_ENSG00000009413.16,9014.434008,8599.82957,6524.405936,8419.607736,7326.704048
TENM1_ENSG00000009694.13,77.80645877,79.10003669,56.3173406,24.80666535,13.47035916
MASP2_ENSG00000009724.17,213.2099065,216.1454491,195.0092988,180.4121117,198.5413807
IYD_ENSG00000009765.15,19.19899632,30.35233966,52.11455399,28.18939245,28.1120539
FAM76A_ENSG00000009780.16,530.4985825,469.0816129,459.7848553,553.6396677,552.8703934
TRAF3IP3_ENSG00000009790.15,6111.34367,5466.180442,6811.035983,8547.02379,11076.7349
POMT2_ENSG00000009830.12,2728.278424,2680.203569,2156.870089,2604.699862,2517.20016
VTA1_ENSG00000009844.16,5076.618816,4043.29955,4454.113251,5379.663655,4866.313664
MLXIPL_ENSG00000009950.16,9.094261414,14.7162859,25.21671967,43.97545222,221.9680923
BAZ1B_ENSG00000009954.11,17353.87173,15800.69221,12628.53321,20032.50985,26725.77824
RANBP9_ENSG00000010017.13,8238.390368,7350.784805,5279.540542,7249.184162,6836.500108
ETV7_ENSG00000010030.14,3.031420471,3.679071474,10.08668787,4.510302792,5.271010106
SPRTN_ENSG00000010072.16,1312.605064,1153.388907,1093.565076,1357.60114,1348.207252
EEF1AKNMT_ENSG00000010165.20,5204.948949,4270.482213,3301.709162,4518.195821,4355.611351
DYRK4_ENSG00000010219.13,1422.746675,1202.136604,1223.010904,1373.3872,1326.537543
ZNF207_ENSG00000010244.19,25578.11546,24532.04859,22622.75977,25996.25771,25078.88042
UQCRC1_ENSG00000010256.11,9158.931718,7226.616142,5829.265031,7872.733523,8539.62204
STARD3NL_ENSG00000010270.14,4040.883488,3178.717753,3084.004816,3355.665277,3443.140935
CD9_ENSG00000010278.15,19.19899632,17.4755895,20.17337574,11.27575698,13.47035916
NCAPD2_ENSG00000010292.13,23814.83922,21084.75862,15609.14948,22775.90152,24620.88821
IFFO1_ENSG00000010295.20,1186.295878,1229.72964,910.3235801,947.1635862,1118.03981
GIPR_ENSG00000010310.9,42.4398866,30.35233966,48.7523247,34.95484663,28.1120539
PHF7_ENSG00000010318.21,729.5618601,653.9549545,479.9582311,644.9732992,548.1850511
SEMA3G_ENSG00000010319.7,1294.416541,1258.242444,841.3978797,1066.68661,776.0098212
NISCH_ENSG00000010322.16,8945.721811,8507.852783,6385.713978,7725.021106,8040.633083
STAB1_ENSG00000010327.10,87849.55479,81542.02038,58978.54508,64730.73809,57755.0434
FUZ_ENSG00000010361.14,939.7403461,760.6480272,517.7833106,644.9732992,659.4619311
IDS_ENSG00000010404.18,16154.43969,15299.41872,10134.59964,13977.42835,12677.95064
ZNF200_ENSG00000010539.12,1816.831336,1582.000734,1305.385522,1878.541113,1735.333661
CD4_ENSG00000010610.10,1.01047349,0.919767868,5.043343934,2.255151396,2.342671158
LRRC23_ENSG00000010626.15,172.7909669,154.5210019,137.0108435,163.4984762,198.5413807
BTK_ENSG00000010671.16,71.74361782,47.82792916,47.07121005,46.23060361,91.36417518
HFE_ENSG00000010704.19,171.7804934,155.4407698,140.3730728,189.4327172,263.5505053
SCMH1_ENSG00000010803.16,5063.482661,4856.374345,3946.416629,4443.775825,4178.154011
FYN_ENSG00000010810.17,24.25136377,36.79071474,22.6950477,31.57211954,22.84104379
HIVEP2_ENSG00000010818.10,5193.833741,4830.620845,3636.250977,5211.654876,5326.648546
ELOA_ENSG00000011007.12,6256.851853,5535.163032,4260.785067,5961.492715,5612.454428
LYPLA2_ENSG00000011009.11,3840.809737,3284.491058,2510.744722,3085.047109,3191.889453
CLCN6_ENSG00000011021.23,3054.661362,3865.784351,3079.802029,3087.302261,3150.30704
MRC2_ENSG00000011028.14,376.9066119,328.357129,152.1408753,81.18545025,72.62280591
NME1-NME2_ENSG00000011052.21,2014.88414,1371.373892,1309.588308,1468.103559,1343.521909
BTBD7_ENSG00000011114.15,5097.838759,5167.255885,4121.252552,5429.276985,5251.097402
APBA3_ENSG00000011132.12,1792.579972,1560.846073,1259.154869,1735.338999,1771.059396
MKS1_ENSG00000011143.19,1349.992583,1313.428516,1091.883962,1386.918108,1392.718004
ABHD5_ENSG00000011198.10,1127.688415,1020.942334,1130.549599,1497.420527,1613.51476
ANOS1_ENSG00000011201.12,59.61793594,61.62444719,105.0696653,82.31302595,79.0651516
AKAP8L_ENSG00000011243.19,8161.594382,8196.051476,6165.48796,6848.894789,7339.003071
MBTD1_ENSG00000011258.16,3375.991932,3180.557289,2907.487778,3368.06861,3254.555907
UTP18_ENSG00000011260.14,4487.512771,3473.963239,3110.062093,4211.495232,3629.383292
RNF216_ENSG00000011275.19,5289.828723,5027.451169,3541.267999,4761.752172,4405.393113
TTC19_ENSG00000011295.16,2279.628194,2050.162579,1778.619294,2304.764726,2175.755838
PTBP1_ENSG00000011304.22,33919.57413,29562.25906,20305.34324,30647.50747,28785.57186
DPF1_ENSG00000011332.20,543.6347379,492.0758096,394.2213842,400.2893727,442.7648489
LARS2_ENSG00000011376.12,6981.361346,6021.720235,4433.099318,6065.229679,5367.059624
PIK3C2A_ENSG00000011405.13,3388.117614,3679.991242,3164.698319,3846.160705,3969.07061
PLAUR_ENSG00000011422.12,938.7298726,861.8224927,747.2554596,630.3148151,1058.301696
ANLN_ENSG00000011426.11,7615.938698,6854.110156,6919.467878,9181.848908,10840.12512
WIZ_ENSG00000011451.21,6470.061759,6087.023753,4701.237104,5925.410292,5788.740432
RABGAP1_ENSG00000011454.18,5235.263154,4896.844132,3909.432106,4773.027929,4558.252406
DCN_ENSG00000011465.18,2.020946981,3.679071474,11.76780251,18.04121117,9.370684634
QPCTL_ENSG00000011478.13,1072.112373,1031.979548,934.6997425,822.0026838,932.383121
PPP5C_ENSG00000011485.15,14168.85928,12485.84881,10269.08881,13573.75625,13119.54415
CEP68_ENSG00000011523.14,2952.603539,2537.639549,1871.0806,2532.535017,2278.833369
MAP4K3_ENSG00000011566.15,2035.09361,1929.672988,1938.325185,2033.018983,1987.17081
ZBTB32_ENSG00000011590.14,54.56556849,57.02560784,56.3173406,32.69969524,39.82540969
TYROBP_ENSG00000011600.12,12.12568189,11.03721442,22.6950477,12.40333268,25.18371495
TMEM159_ENSG00000011638.11,768.9703262,692.5852049,493.4071482,690.0763271,655.9479243
BRCA1_ENSG00000012048.23,6309.396474,5864.439929,4562.545146,7251.439313,7692.160749
ERCC1_ENSG00000012061.16,8075.704136,6780.528726,6170.531304,7515.292026,7793.481276
CD22_ENSG00000012124.17,33.34562519,29.43257179,39.50619415,49.61333071,48.61042654
SEMA3B_ENSG00000012171.20,39.40846613,44.14885769,33.6222929,31.57211954,46.85342317
MBTPS2_ENSG00000012174.12,2225.062626,1781.590361,1583.609995,2175.093521,2326.27246
PRICKLE3_ENSG00000012211.13,408.2312901,389.9815762,339.5851582,428.4787652,418.1668018
EXTL3_ENSG00000012232.9,3050.619468,2797.014088,2062.727669,2927.186512,3046.643841
ELOVL5_ENSG00000012660.14,12172.16367,11362.81225,9210.827139,11455.04151,10701.90752
ALOX5_ENSG00000012779.11,20.20946981,11.03721442,5.883901257,5.637878489,16.39869811
KDM5D_ENSG00000012817.16,13292.77877,13781.80174,11219.75914,12112.41815,11972.22095
CALCOCO1_ENSG00000012822.16,1529.856865,1510.25884,1168.374678,1211.0163,1402.674356
UBR7_ENSG00000012963.15,14041.53962,11955.14275,9475.602695,13755.29594,12952.62883
MAP4K5_ENSG00000012983.11,4483.470877,4379.014822,4424.693745,5031.242764,4647.859578
EHD3_ENSG00000013016.16,252.6183726,189.4721809,167.2709072,231.1530181,296.3479015
PSMC4_ENSG00000013275.8,7994.866257,6680.274029,4974.418234,7020.286295,7159.20306
MAN2B2_ENSG00000013288.9,3425.505133,3107.895627,2276.229229,2675.737131,2997.447747
SLC7A14_ENSG00000013293.6,50.52367452,57.02560784,68.92570043,43.97545222,59.15244675
CLDN11_ENSG00000013297.12,8.083787924,21.15466097,31.94117825,16.91363547,29.28338948
SLC25A39_ENSG00000013306.16,12422.76109,10764.96313,7691.0995,9293.478902,8755.733454
MVP_ENSG00000013364.19,149.5500766,152.6814662,150.4597607,136.4366594,172.1863301
NUB1_ENSG00000013374.17,7324.922332,6171.642397,4872.710798,7418.320516,7599.03957
PGM3_ENSG00000013375.16,2151.298061,2009.692793,1910.586794,1943.940503,1886.43595
RWDD2A_ENSG00000013392.8,682.0696061,581.2932929,442.1331516,499.5160342,476.7335807
CLK1_ENSG00000013441.16,8299.018777,7871.373418,9482.327154,8500.793186,8589.403802
POLR3B_ENSG00000013503.10,2166.455164,1834.936898,1482.743117,2160.435037,1943.245726
ANGEL1_ENSG00000013523.11,7199.62362,6559.784438,5094.617931,6766.581763,6508.526146
RNF14_ENSG00000013561.18,1885.543533,1488.184411,1317.153324,1755.635362,1860.0809
DNASE1L1_ENSG00000013563.14,1090.300896,916.088797,710.2709374,745.3275363,849.2182949
DDX11_ENSG00000013573.17,7569.456917,7845.619918,6411.771255,7401.406881,7422.753565
